City,Country,Max Temp(F),Cloudiness,Humidity,Wind Speed,Latitude,Longitude,Date
Cidreira,BR,73.33,80,81,9.33,-30.17,-50.22,1553094965
Shimoda,JP,52.0,88,67,1.01,34.7,138.93,1553094174
Chokurdakh,RU,-25.77,12,39,3.74,70.62,147.9,1553094966
Kahului,US,66.0,90,77,3.36,20.89,-156.47,1553094755
Georgetown,GY,84.2,40,74,16.11,6.8,-58.16,1553090400
Bambous Virieux,MU,84.2,40,74,12.75,-20.34,57.76,1553094843
Hasaki,JP,51.01,0,93,2.24,35.73,140.83,1553094277
Akdagmadeni,TR,49.3,0,71,3.18,39.66,35.88,1553094969
Nikolskoye,RU,35.01,40,74,15.66,59.7,30.79,1553094635
Kodiak,US,45.0,90,100,13.87,39.95,-94.76,1553094956
Mar del Plata,AR,61.36,0,46,4.41,-46.43,-67.52,1553094970
Tasiilaq,GL,3.2,20,41,18.34,65.61,-37.64,1553093400
Turcinesti,RO,42.01,64,95,5.99,45.1,23.33,1553094907
Nishihara,JP,62.01,0,82,10.29,35.74,139.53,1553094786
Teknaf,BD,71.89,0,72,3.4,20.86,92.31,1553094971
Narsaq,GL,14.0,90,78,5.82,60.91,-46.05,1553093400
Punta Arenas,CL,53.6,75,71,24.16,-53.16,-70.91,1553094787
Pevek,RU,-9.39,64,84,15.7,69.7,170.27,1553094972
Castro,CL,51.8,20,76,8.05,-42.48,-73.76,1553090400
Svetlaya,RU,26.08,88,100,17.16,46.54,138.33,1553094973
Saint George,GR,66.2,75,55,9.17,39.45,22.34,1553094213
Ribeira Grande,PT,62.6,20,63,11.41,38.52,-28.7,1553094000
Nuuk,GL,10.4,75,72,4.7,64.17,-51.74,1553093400
Geraldton,CA,32.0,90,90,5.82,49.72,-86.95,1553090400
Ilulissat,GL,-9.41,40,47,9.17,69.22,-51.1,1553093400
Yuzhnyy,RU,33.37,92,94,5.3,53.54,39.45,1553094975
Pangnirtung,CA,-27.41,20,60,4.07,66.15,-65.72,1553090400
Victor Harbor,AU,69.01,0,68,12.75,-35.55,138.62,1553094909
Gizo,IL,70.0,0,60,11.41,31.8,34.94,1553094965
Grand Gaube,MU,84.2,40,74,12.75,-20.01,57.66,1553094843
Pisco,PE,71.6,0,30,5.82,-13.71,-76.2,1553090400
Hambantota,LK,82.4,20,83,5.82,6.12,81.12,1553091000
Bluff,AU,70.9,64,83,4.52,-23.58,149.07,1553094976
Kununurra,AU,82.4,0,83,6.93,-15.77,128.74,1553090400
Moose Factory,CA,35.6,90,69,4.7,51.26,-80.61,1553090400
Flin Flon,CA,24.8,20,100,3.36,54.77,-101.88,1553090400
Qaqortoq,GL,14.0,90,78,5.82,60.72,-46.03,1553093400
Qaanaaq,GL,-29.37,20,90,5.53,77.48,-69.36,1553094978
Turinsk,RU,28.69,0,85,6.76,58.04,63.7,1553094978
Bethel,US,15.8,1,85,12.75,60.79,-161.76,1553090160
Hokitika,NZ,62.71,88,100,2.39,-42.72,170.96,1553094980
Mayo,CA,28.4,75,92,4.7,63.59,-135.9,1553090400
Puerto Escondido,MX,77.0,20,69,1.95,15.86,-97.07,1553089260
Sisimiut,GL,-13.35,0,77,3.51,66.94,-53.67,1553094981
Malinovskiy,RU,40.39,64,69,9.33,54.15,34.53,1553094981
Longyearbyen,NO,35.6,75,80,11.41,78.22,15.63,1553089800
Lagoa,PT,70.0,0,59,13.87,37.14,-8.45,1553094939
Avarua,CK,77.0,92,94,1.12,-21.21,-159.78,1553092200
Huarmey,PE,77.02,8,64,3.96,-10.07,-78.15,1553094983
Dabat,ET,63.88,44,77,1.39,12.98,37.77,1553094983
Kavieng,PG,82.78,44,100,5.41,-2.57,150.8,1553094983
Meulaboh,ID,80.44,64,100,4.29,4.14,96.13,1553094984
Zhezkazgan,KZ,30.58,36,78,11.68,47.8,67.71,1553094869
Mwense,ZM,86.2,24,43,4.41,-10.39,28.7,1553094984
New Norfolk,AU,63.0,75,88,3.36,-42.78,147.06,1553094976
Crixas,BR,87.19,8,80,8.77,-14.55,-49.97,1553094985
Majene,ID,83.23,8,96,5.53,-3.54,118.97,1553094985
Aklavik,CA,8.6,40,84,4.7,68.22,-135.01,1553090400
Ostrovnoy,RU,21.67,0,87,6.42,68.05,39.51,1553094986
Tiksi,RU,-8.67,48,64,17.83,71.64,128.87,1553094986
Chuy,UY,68.74,0,82,16.71,-33.69,-53.46,1553094986
Guerrero Negro,MX,51.64,24,100,7.54,27.97,-114.04,1553094986
Dikson,RU,18.7,80,92,13.47,73.51,80.55,1553094987
Nouadhibou,MR,75.2,0,57,12.75,20.93,-17.03,1553090400
Port Hardy,CA,33.8,20,86,3.36,50.7,-127.42,1553090400
Flinders,AU,69.01,75,100,4.7,-34.58,150.85,1553094959
Waipawa,NZ,57.0,88,90,1.95,-39.94,176.59,1553093296
Port Shepstone,ZA,75.94,36,89,19.84,-30.74,30.45,1553094988
Prince Rupert,CA,39.2,1,80,3.74,54.32,-130.32,1553090400
Saint-Leu,RE,86.0,0,66,4.7,-21.15,55.28,1553094927
Jiangyou,CN,52.81,56,91,8.99,31.78,104.73,1553094989
Cherskiy,RU,-15.51,56,46,4.74,68.75,161.3,1553094989
Ballina,IE,57.2,75,93,12.75,54.11,-9.15,1553094784
Moindou,NC,73.4,0,83,3.36,-21.69,165.68,1553092200
Kruisfontein,ZA,68.02,56,92,12.35,-34.0,24.73,1553094990
Sistranda,NO,43.0,75,86,29.97,63.73,8.83,1553094954
Mayor Pablo Lagerenza,PY,75.76,92,98,12.8,-19.93,-60.77,1553094991
Yar-Sale,RU,30.94,92,93,17.94,66.83,70.83,1553094991
Ola,RU,0.88,0,100,5.75,59.58,151.3,1553094991
Valparaiso,US,39.99,90,86,8.05,41.47,-87.06,1553094789
Bogorodskoye,RU,0.52,0,62,1.83,52.37,140.44,1553094992
Bonavista,CA,26.01,0,58,8.99,48.65,-53.11,1553094128
Nechi,CO,68.74,92,93,1.61,5.59,-75.16,1553094992
Spornoye,RU,41.0,75,86,11.18,50.84,37.29,1553092200
Tateyama,JP,62.01,92,22,1.99,36.66,137.31,1553094573
Nampula,MZ,83.14,12,66,5.75,-15.12,39.26,1553094993
Hilo,US,68.0,40,64,4.7,19.71,-155.08,1553094750
Mahebourg,MU,84.2,40,74,12.75,-20.41,57.7,1553094543
Pidigan,PH,69.55,12,85,1.72,17.57,120.59,1553094994
Tortoli,IT,55.4,40,82,36.91,39.93,9.66,1553094592
Ahipara,NZ,60.73,12,100,8.21,-35.17,173.16,1553094994
Coquimbo,CL,60.8,20,77,6.93,-29.95,-71.34,1553090400
Mikhaylovka,RU,19.51,76,73,3.62,52.96,103.29,1553094995
Kavaratti,IN,83.14,0,100,4.18,10.57,72.64,1553094995
Provideniya,RU,0.16,0,100,6.64,64.42,-173.23,1553094716
Linxia,CN,22.75,88,77,2.62,35.6,103.21,1553094996
The Pas,CA,24.8,1,92,6.93,53.82,-101.24,1553090400
Lumeje,AO,86.29,12,47,10.0,-11.56,20.78,1553094996
Jijiga,ET,79.99,88,25,1.05,9.35,42.8,1553094997
Salon,IN,76.57,56,53,0.94,26.03,81.45,1553094997
Norman Wells,CA,37.4,75,74,10.29,65.28,-126.83,1553090400
Ponta do Sol,BR,83.32,8,84,4.97,-20.63,-46.0,1553094998
Itoman,JP,71.6,20,83,12.75,26.12,127.67,1553094787
Saint-Philippe,CA,37.99,1,51,6.93,45.36,-73.48,1553094936
Kaitangata,NZ,54.88,80,96,3.06,-46.28,169.85,1553094999
Palana,RU,4.39,68,75,3.74,59.08,159.95,1553094999
Leningradskiy,RU,-4.71,76,81,28.68,69.38,178.42,1553094726
Kintampo,GH,82.96,44,83,5.08,8.05,-1.73,1553094999
Quang Ngai,VN,73.69,8,73,1.83,15.12,108.8,1553094860
Port Elizabeth,US,50.0,1,48,5.82,39.31,-74.98,1553094778
Sosnogorsk,RU,33.82,88,82,7.54,63.59,53.93,1553095000
Port Blair,IN,86.56,8,94,4.18,11.67,92.75,1553095000
Buraydah,SA,86.0,40,28,12.75,26.33,43.97,1553090400
Vitry-le-Francois,FR,57.2,0,35,6.93,48.73,4.58,1553094952
Bandarbeyla,SO,78.64,0,100,7.31,9.49,50.81,1553095002
Vao,EE,34.27,92,84,13.47,59.1,26.19,1553094785
Bathsheba,BB,84.2,20,58,19.46,13.22,-59.52,1553090400
Camacha,PT,66.2,40,63,16.11,33.08,-16.33,1553094422
South Bradenton,US,69.01,20,59,16.11,27.46,-82.58,1553094991
Dingle,PH,78.46,32,77,12.12,11.0,122.67,1553095003
Cap Malheureux,MU,84.2,40,74,12.75,-19.98,57.61,1553094843
Darhan,MN,9.7,12,62,2.84,49.49,105.92,1553095004
Gainesville,US,64.99,90,50,6.93,29.65,-82.33,1553094730
Half Moon Bay,US,54.0,90,93,17.22,37.46,-122.43,1553094892
Port-Cartier,CA,26.01,75,44,10.29,50.03,-66.88,1553094976
Upernavik,GL,-13.44,0,100,10.45,72.79,-56.15,1553094768
Belmonte,PT,60.01,0,43,8.01,40.36,-7.35,1553094126
Jacareacanga,BR,82.4,75,83,2.24,-6.22,-57.76,1553090400
Gat,SN,89.6,0,38,12.75,14.69,-16.54,1553092200
Ambon,FR,57.2,75,67,3.36,47.55,-2.56,1553094986
Namibe,AO,79.72,0,94,9.33,-15.19,12.15,1553095007
Meadow Lake,CA,32.0,5,65,5.82,54.13,-108.44,1553090400
Kieta,PG,78.82,76,99,1.61,-6.22,155.63,1553095008
Union,US,53.6,1,57,3.74,47.36,-123.1,1553095005
Sorland,NO,41.0,75,86,9.17,67.67,12.69,1553093400
Ishigaki,JP,76.3,0,95,17.16,24.34,124.16,1553095010
Iqaluit,CA,-23.01,40,61,5.82,63.75,-68.52,1553094762
Cabo San Lucas,MX,73.99,5,44,7.76,22.89,-109.91,1553094950
Butaritari,KI,82.69,92,100,10.11,3.07,172.79,1553094715
Henties Bay,NA,62.01,0,91,5.99,-22.12,14.28,1553094130
Portland,US,57.0,1,57,26.4,45.52,-122.67,1553094576
Shenjiamen,CN,60.46,88,89,8.21,29.96,122.3,1553095012
Port Lincoln,AU,64.69,0,97,12.68,-34.72,135.86,1553095012
Saldanha,PT,58.03,0,35,12.01,41.42,-6.55,1553095012
Ilhabela,BR,78.82,56,100,10.0,-23.78,-45.36,1553094898
Burglengenfeld,DE,50.0,1,39,4.41,49.21,12.04,1553094941
Roebourne,AU,84.4,12,58,5.64,-20.77,117.15,1553095013
Cuitareo,MX,63.0,5,50,3.62,19.62,-100.6,1553094963
Pandan,PH,81.07,0,96,21.07,11.72,122.09,1553095014
Mount Isa,AU,82.4,48,51,4.7,-20.73,139.49,1553090400
San Quintin,PH,69.55,12,85,1.72,17.54,120.52,1553095014
Biak,ID,79.18,44,96,3.18,-0.91,122.88,1553095014
Kedrovyy,RU,23.0,40,73,6.71,56.17,91.82,1553092200
San Patricio,PY,74.68,64,78,8.99,-26.98,-56.83,1553095015
Kenai,US,34.0,1,74,19.46,60.55,-151.26,1553094724
Pacific Grove,US,53.6,75,81,3.36,36.62,-121.92,1553094796
Luderitz,NA,69.37,0,73,20.07,-26.65,15.16,1553095016
Caravelas,BR,83.77,8,100,10.22,-17.73,-39.27,1553094885
Kijang,KR,59.0,90,87,9.17,35.24,129.21,1553092560
Oga,NG,92.41,36,55,7.99,8.18,5.65,1553095016
Puerto Ayora,EC,82.99,0,78,6.93,-0.74,-90.35,1553094980
Hithadhoo,MV,84.49,8,100,1.95,-0.6,73.08,1553095017
Sabzevar,IR,41.02,0,88,2.73,36.21,57.68,1553095017
Srednekolymsk,RU,-19.92,24,29,2.39,67.46,153.71,1553095017
Muroto,JP,56.86,88,100,11.34,33.37,134.14,1553095018
Quatre Cocos,MU,84.2,40,74,12.75,-20.21,57.76,1553094843
Novyy Urengoy,RU,27.7,76,85,19.06,66.08,76.63,1553094989
Casino,AU,73.4,48,78,5.82,-28.86,153.05,1553094903
Mecca,SA,84.22,0,46,8.43,21.43,39.83,1553095019
Kalengwa,ZM,82.51,32,59,8.88,-13.47,25.0,1553095019
Cayenne,GF,84.2,75,70,13.87,4.94,-52.33,1553092200
Tuktoyaktuk,CA,3.2,40,77,13.87,69.44,-133.03,1553090400
Palencia,ES,54.0,0,40,17.22,42.01,-4.53,1553094949
Kamaishi,JP,38.41,88,81,1.28,39.28,141.86,1553095020
Homer,US,37.4,75,74,3.36,59.64,-151.54,1553094341
Maraba,BR,86.0,75,70,5.82,-5.35,-49.1,1553090400
Alyangula,AU,80.6,20,94,4.41,-13.85,136.42,1553090400
North Platte,US,39.99,1,74,10.29,41.12,-100.77,1553094987
Vila,IT,60.01,0,30,5.82,45.18,8.4,1553094974
Grootfontein,NA,93.2,40,23,6.93,-19.56,18.1,1553090400
Oranjemund,ZA,65.77,0,93,23.87,-28.55,16.43,1553094956
Price,US,36.0,1,58,4.7,39.6,-110.81,1553094968
Mayya,RU,-20.21,0,75,2.24,61.74,130.28,1553092200
Alofi,NU,75.2,76,94,2.24,-19.06,-169.92,1553090400
Bilibino,RU,-23.25,32,33,1.83,68.06,166.44,1553095023
Puro,PH,77.56,68,80,8.21,13.13,123.76,1553095023
Katsuura,JP,61.0,75,77,14.99,33.93,134.5,1553093470
Kiunga,PG,85.3,76,52,3.29,-6.12,141.3,1553095024
Richards Bay,ZA,81.7,32,73,13.69,-28.77,32.06,1553094747
Tevaitoa,PF,83.32,68,99,4.63,-16.78,-151.5,1553095024
Christchurch,NZ,60.01,0,87,9.17,-43.53,172.64,1553094603
Kabinda,CD,79.27,12,91,9.33,-6.14,24.49,1553095025
Paamiut,GL,20.32,76,100,7.2,61.99,-49.67,1553095025
Pyaozerskiy,RU,27.97,56,70,4.63,65.83,31.17,1553095025
Erenhot,CN,21.94,8,54,8.77,43.65,111.97,1553095026
Nome,US,63.0,1,47,5.19,30.04,-94.42,1553094714
Ayan,TR,54.16,0,26,5.08,40.67,33.6,1553095026
Raudeberg,NO,46.4,75,75,13.87,61.99,5.14,1553094902
Alice Springs,AU,75.2,0,25,3.36,-23.7,133.88,1553092200
Nizwa,OM,78.82,0,14,9.22,22.93,57.53,1553094874
Kapiri Mposhi,ZM,88.54,8,28,9.66,-13.97,28.68,1553095027
Carauari,BR,84.67,44,84,3.74,-4.88,-66.9,1553095027
Rio Grande,BR,71.6,90,73,16.11,-32.03,-52.1,1553090400
Nemuro,JP,35.62,24,87,10.45,43.32,145.57,1553095028
Shirokovskiy,RU,33.01,92,88,1.99,58.84,57.78,1553094899
Saskylakh,RU,5.47,76,74,7.09,71.97,114.09,1553095028
Carutapera,BR,81.07,88,94,5.19,-1.2,-46.02,1553095029
Bundaberg,AU,75.99,92,83,10.45,-24.87,152.35,1553094909
Shieli,KZ,46.69,20,57,11.34,44.18,66.74,1553095029
Clyde River,CA,-20.21,20,68,16.11,70.47,-68.59,1553090400
Ilukste,LV,41.38,80,62,17.49,55.98,26.3,1553095030
Solginskiy,RU,32.92,56,93,10.33,61.05,41.34,1553095030
Usinsk,RU,32.92,76,88,11.45,66.0,57.56,1553095030
Zeya,RU,5.38,0,55,3.74,53.74,127.27,1553095031
Chara,GR,66.2,75,55,9.17,39.42,22.43,1553094803
Areosa,PT,66.0,0,55,12.75,41.72,-8.86,1553095027
Ati,TD,104.92,0,11,7.31,13.21,18.34,1553095032
Morki,RU,34.54,92,95,7.76,56.43,49.0,1553095032
Kirakira,SB,82.24,76,100,5.41,-10.46,161.92,1553095032
Guarapuava,BR,73.96,88,81,1.5,-25.4,-51.46,1553095033
Lata,IN,38.5,88,100,1.5,30.78,78.62,1553095033
Halmaj,HU,48.2,0,31,17.22,48.25,21.0,1553094941
Eden,CA,26.6,5,86,11.41,50.38,-99.47,1553090400
Bernalda,IT,61.0,20,71,8.05,40.41,16.69,1553094910
Bontang,ID,82.6,0,95,8.88,0.12,117.47,1553095035
Hofn,IS,35.6,75,80,8.05,64.25,-15.21,1553094000
Quarai,BR,69.1,24,68,16.04,-30.39,-56.45,1553095037
Monticello,US,37.99,1,80,11.79,45.31,-93.79,1553095009
Poya,NC,76.48,8,100,4.74,-21.35,165.16,1553095037
Isangel,VU,81.25,68,100,14.92,-19.55,169.27,1553095038
Rome,IT,64.99,40,34,11.41,41.89,12.48,1553094972
Padang,ID,82.4,40,83,1.12,-0.92,100.36,1553090400
Kulhudhuffushi,MV,85.84,36,99,9.66,6.62,73.07,1553095038
Bondo,CD,99.61,36,26,2.95,3.81,23.69,1553095039
Katiola,CI,95.0,75,39,4.7,8.14,-5.1,1553090400
Simplicio Mendes,BR,86.74,36,70,9.44,-7.85,-41.91,1553095040
Mao,DO,84.99,20,61,5.82,19.55,-71.08,1553094645
Airai,TL,69.37,24,89,1.83,-8.93,125.41,1553095040
Lazaro Cardenas,MX,59.0,40,52,4.41,28.39,-105.62,1553094632
Dukat,RS,55.0,0,50,10.0,42.44,22.31,1553094825
Pathein,MM,75.4,0,77,7.43,16.78,94.73,1553095041
Naryan-Mar,RU,29.68,80,83,12.01,67.67,53.09,1553095041
Ranong,TH,83.68,44,99,3.62,9.96,98.62,1553095042
Alihe,CN,9.52,32,58,3.96,50.57,123.73,1553095042
Troitsko-Pechorsk,RU,34.9,88,79,6.98,62.71,56.19,1553095042
Salalah,OM,80.6,0,61,8.05,17.01,54.1,1553089800
Tecoanapa,MX,80.6,5,74,4.7,16.99,-99.26,1553093340
Taoudenni,ML,89.44,32,14,4.63,22.68,-3.98,1553095043
Turochak,RU,14.56,0,69,2.62,52.26,87.12,1553095043
Waingapu,ID,77.02,92,93,7.76,-9.65,120.26,1553095043
Greenville,US,53.01,1,34,5.82,34.85,-82.4,1553095036
Trofors,NO,39.2,75,80,4.7,65.54,13.39,1553093400
Port Keats,AU,83.14,0,89,9.78,-14.25,129.55,1553095045
Torbay,CA,28.99,90,53,10.29,47.66,-52.73,1553095040
Ulaanbaatar,MN,8.6,0,55,3.06,47.92,106.92,1553094000
Saint-Augustin,FR,63.0,0,43,12.75,44.83,-0.61,1553094918
Mirnyy,RU,35.62,80,86,11.79,56.57,36.46,1553095046
Brae,GB,48.2,40,76,20.8,60.4,-1.35,1553093400
Inuvik,CA,8.6,75,71,2.24,68.36,-133.71,1553090400
Antalaha,MG,82.87,32,82,8.21,-14.9,50.28,1553095047
Mozarlandia,BR,84.49,44,89,5.53,-14.74,-50.57,1553094945
Odessa,US,52.0,36,81,18.34,31.85,-102.37,1553094731
Namatanai,PG,82.42,76,100,6.53,-3.66,152.44,1553095047
Silver City,US,55.99,40,39,2.73,32.77,-108.28,1553095037
Sitka,US,42.01,0,73,8.99,37.17,-99.65,1553094974
Aguimes,ES,72.0,20,60,25.28,27.91,-15.45,1553094933
Dinard,FR,57.99,75,71,8.05,48.63,-2.06,1553095002
Sept-Iles,CA,26.01,75,44,10.29,50.2,-66.38,1553094803
Burnie,AU,64.0,68,92,1.01,-41.05,145.91,1553095015
Poum,MK,60.8,40,31,16.11,41.28,20.71,1553094000
Zhanakorgan,KZ,52.0,36,47,6.42,43.91,67.25,1553095050
Dandong,CN,42.64,92,95,4.07,40.12,124.37,1553095050
Carnot,CF,91.42,12,49,4.29,4.94,15.87,1553095050
Keti Bandar,PK,74.68,0,95,8.77,24.14,67.45,1553095050
Troitskoye,RU,14.2,0,89,5.19,52.98,84.68,1553095051
Alabaster,US,57.0,1,34,8.05,33.24,-86.82,1553095028
Atasu,KZ,29.59,24,78,11.34,48.68,71.64,1553095052
Aswan,EG,87.8,0,8,8.05,24.09,32.9,1553090400
Aksarka,RU,25.36,20,93,12.91,66.56,67.8,1553095052
Thinadhoo,MV,84.67,76,100,3.51,0.53,72.93,1553095053
Fukue,JP,57.2,75,67,9.17,35.03,136.69,1553094982
Wollongong,AU,69.8,40,88,9.17,-34.42,150.89,1553094967
Kayanza,BI,80.08,8,50,1.72,-2.93,29.63,1553095054
Houma,CN,48.22,32,35,10.11,35.63,111.36,1553095054
Santa Elena,EC,82.4,40,78,9.17,-2.23,-80.86,1553090400
Maralal,KE,73.6,8,74,4.52,1.1,36.7,1553095055
Pachino,IT,59.0,20,72,14.99,36.72,15.09,1553093400
Nara,JP,57.2,80,67,8.05,34.68,135.8,1553094868
Yeppoon,AU,73.4,44,83,2.24,-23.13,150.74,1553092200
Belgrade,RS,55.99,0,57,10.29,44.82,20.46,1553094484
Keelung,TW,77.0,40,83,4.7,25.13,121.74,1553094916
Lompoc,US,54.0,90,93,4.85,34.64,-120.46,1553095034
Nanortalik,GL,28.6,80,100,25.55,60.14,-45.24,1553095057
Rabo de Peixe,PT,60.8,40,67,8.05,37.8,-25.58,1553095025
Soto la Marina,MX,61.09,88,98,4.29,23.77,-98.21,1553095057
Kalispell,US,28.0,1,92,2.17,48.2,-114.32,1553095002
Walvis Bay,NA,75.2,0,50,9.17,-22.95,14.51,1553094130
Makokou,GA,88.36,24,65,2.95,0.56,12.85,1553095058
Lorengau,PG,82.06,56,100,9.44,-2.02,147.27,1553095058
Vung Tau,VN,81.43,0,96,12.01,10.35,107.08,1553095058
Souillac,FR,59.0,0,41,12.75,45.6,-0.6,1553095048
Isla Mujeres,MX,78.01,40,94,4.7,21.23,-86.73,1553094782
Tuatapere,NZ,55.0,24,97,2.28,-46.13,167.69,1553094605
Trairi,BR,82.69,80,100,7.31,-3.28,-39.27,1553095060
Pangody,RU,27.7,68,87,18.84,65.85,74.49,1553095061
Parana,BR,78.8,75,88,2.62,-7.52,-72.89,1553090400
Tiznit,MA,68.02,0,83,7.43,29.7,-9.73,1553095061
Launceston,AU,64.0,90,93,5.82,-41.43,147.14,1553095060
Pochutla,MX,87.01,5,51,2.51,15.74,-96.47,1553094999
Avera,US,54.0,90,40,6.93,33.19,-82.53,1553095032
Tukan,RU,29.95,0,84,2.73,53.84,57.45,1553095062
Vestmannaeyjar,IS,35.6,75,64,27.51,63.44,-20.27,1553094000
Hargeysa,SO,83.32,0,25,7.43,9.56,44.06,1553094801
Ponta Delgada,PT,60.8,40,67,8.05,37.73,-25.67,1553094966
Sivaki,RU,9.7,0,60,5.53,52.63,126.75,1553095063
Puerto Narino,CO,77.0,75,94,3.36,-3.77,-70.38,1553090400
Bukachacha,RU,7.0,0,64,2.39,52.99,116.91,1553095064
Merauke,ID,80.44,36,94,14.81,-8.49,140.4,1553094860
Nakamura,JP,57.2,75,67,9.17,35.17,136.87,1553094982
Otradnoye,RU,35.01,40,74,15.66,59.77,30.8,1553094935
Manokwari,ID,80.26,80,100,9.66,-0.87,134.08,1553095065
Koslan,RU,33.46,88,83,6.2,63.46,48.9,1553095065
Marathon,CA,32.0,90,94,3.36,48.72,-86.38,1553090400
Necochea,AR,62.01,92,72,8.01,-38.55,-58.74,1553094989
Hawkesbury,CA,36.0,75,63,2.24,45.61,-74.6,1553094911
Lima,PE,73.99,0,73,4.7,-12.06,-77.04,1553094729
Fortuna,ES,59.0,75,50,12.75,38.18,-1.13,1553095059
